Second Modifier	Category	Code	Remarks
Air	Missile Destination	01
Surface	Missile Destination	02
Subsurface	Missile Destination	03
Space	Missile Destination	04
Launched	Missile Status	05
{Disused}		06
Patriot	Missile Type-BMD	07
Standard Missile-2 (SM-2)	Missile Type-AAW	08
Standard Missile-6 (SM-6)	Missile Type-AAW	09
Evolved Sea Sparrow Missile (ESSM)	Missile Type-AAW	10
Rolling Airframe Missile (RAM)	Missile Type-AAW	11
Short Range	Missile Range	12
Medium Range	Missile Range	13
Intermediate Range	Missile Range	14
Long Range	Missile Range	15
Intercontinental	Missile Range	16
