First Modifier	Category	Code	Remarks
{Disused}		01
{Disused}		02
{Disused}		03
{Disused}		04
{Disused}		05
{Disused}		06
{Disused}		07
{Disused}		08
{Disused}		09
Field Artillery Observer		11
Joint Fire Support		12
Liaison		13
Messenger		14
Military Police		15
Observer		16
Designated Marksman		17
{Disused}		18
{Disused}		19
Signaler		20
Reconnaissance		21
Infantry 		22
Commander (CDR) 		23
Second In Command (SIC)		24
Demolition		25
Police		26
Individual		46
Team/Crew		47
Squad		48
Section		49
Platoon/Detachment		50
Company		51
Battalion		52
Regiment/Group		53
{Disused}		54
