Second Modifier	Category	Code	Remarks
{Disused}		01
{Disused}		02
Video Imagery (Combat Camera)		03
Functional Staff Area J1		04
Functional Staff Area J2		05
Functional Staff Area J3		06
Functional Staff Area J4		07
Functional Staff Area J5		08
Functional Staff Area J6		09
Functional Staff Area J7		10
Functional Staff Area J8		11
Functional Staff Area J9		12
{Disused}		13
Rank O-1/O-2 {Rank Code OF-1}		14
Rank O-3 {Rank Code OF-2} 		15
Rank O-4 {Rank Code OF-3} 		16
Rank O-5 Rank Code OF-4} 		17
Rank O-6 {Rank Code OF-5} 		18
Rank O-7 {Rank Code OF-6} 		19
Rank O-8 {Rank Code OF-7} 		20
Rank O-9 {Rank Code OF-8} 		21
Rank O-10 {Rank Code OF-9} 		22
Rank O-11 {Rank Code OF-10} 		23
Rank Code OF-D		24
Rank E-1 {Rank Code OR-1}		25
Rank E-2 {Rank Code OR-2}		26
Rank E-3 {Rank Code OR-3}		27
Rank E-4 {Rank Code OR-4}		28
Rank E-5 {Rank Code OR-5}		29
Rank E-6 {Rank Code OR-6}		30
Rank E-7 {Rank Code OR-7}		31
Rank E-8 {Rank Code OR-8}		32
Rank E-9 {Rank Code OR-9}		33
Rank Code WO-1		34
Rank Code WO-2		35
Rank Code WO-3		36
Rank Code WO-4		37
Rank Code WO-5		38
{Disused}		39
